文档,摘要,模型预测摘要
主办方非凡京奇携手经纪公司相信音乐宣布，五月天诺亚方舟明日重生巡航终点站将于8月17日再落鸟巢。大麦网将于下周二6月25日进行演唱会的先付先抢活动，场地前五排门票则将在演唱会开票当天进行在线抢座。,五 月 天 巡 演 终 站 8 月 1 7 日 落 鸟 巢,周 末 将 携 手 再 演 唱 会
今日，周杰伦新歌《打架舞》60秒MV预告首播，它将使周杰伦第二部导演作品《天台》动作和音乐相结合，实现以音乐设计动作。这首歌是最能代表《天台》歌武片概念的创作，除了设计动作还要与音乐结合。MV预告-L视频：周杰伦《打架舞》60秒预告首发,周 杰 伦 新 歌 《 打 架 舞 》 M V 6 0 秒 预 告 首 播,《 周 杰 伦 》 首 周 预 告 首 周 预 告
今晚(6月13日)9点10分，《我为歌狂》第二阶段对战正式开启。毛宁嗓子病愈回归红队，与麦子杰、朱桦、萨顶顶会师。而蓝队则大换血，两位黄队选手罗中旭、郁可唯[微博]携手加盟，与伍思凯、纪敏佳组成实力队伍全面出击。,预 告 ： 2 1 : 2 0 直 播 我 为 歌 狂,《 蓝 歌 手 》 今 晚 开 启
出道22年，3夺全英音乐奖，6次提名格莱美奖，并且在2009年被全英音乐奖授予终身成就奖——宠物店男孩#PetShopBoys#将在这个仲夏把他们的“触电现场”带来中国，8月20日上海大舞台、8月22日北京万事达中心，演唱会门票即将对外公开发售！,宠 物 店 男 孩 8 月 首 度 来 华 开 唱,2 0 1 3 年 全 球 电 子 音 乐 奖
《我为歌狂》今晚从22时移至21点10分播出。由李翊君、纪敏佳、伍思凯组成的蓝队，将对决由李泉、黄龄、顺子组成的绿队。本场失利队伍，将和上期节目失利黄队，比拼前几场比赛总分，得分较低队伍将被整队淘汰。,正 视 频 直 播 《 我 为 歌 狂 》,李 庆 泉 ： 我 将 出 队 队
《我为歌狂》今晚从22时移至21点10分播出。由李翊君、纪敏佳、伍思凯组成的蓝队，将对决由李泉、黄龄、顺子组成的绿队。本场失利队伍，将和上期节目失利黄队，比拼前几场比赛总分，得分较低队伍将被整队淘汰。,《 我 为 歌 狂 》 今 晚 首 次 整 队 淘 汰,李 庆 泉 ： 我 将 歌 队
“追梦”莎拉-布莱曼2013全球巡演北京站6月28日万事达中心拉开帷幕。本次演唱会近20首曲目，新曲和经典老歌各有侧重，呈现“动态宇宙”视觉画面。作为中国巡演首站，莎拉将在北京首次演唱新专辑《追梦》歌曲。,莎 拉 - 布 莱 曼 北 京 个 唱 曲 目 曝 光,新 歌 巡 视 演 唱 会 首 次 巡 演
杰克逊15岁的女儿帕里斯-杰克逊自杀未遂并紧急送医。目前，帕里斯的家人称她身体健康状况良好。律师不谈帕里斯自杀原因，并说，“一个敏感的15岁的孩子无论做什么都是不容易的，请大家尊重帕里斯的隐私和杰克逊一家的隐私。,杰 克 逊 女 儿 恢 复 状 况 良 好 律 师 呼 吁 尊 重 隐 私,克 里 里 的 女 儿 私 自 杀 人
已故巨星迈克尔-杰克逊的女儿自杀未遂，被紧急送往洛杉矶医院。这是杰克逊的第二个孩子ParisJackson，年仅15岁。她的生母也证实了其割腕自杀的消息。律师称她因为父亲的离开受了很大打击，但不知道她为什么这样。,杰 克 逊 女 儿 自 杀 未 遂 疑 因 父 亲 去 世 受 打 击,女 星 自 杀 因 儿 女 割 腕 自 杀
意大利作曲家、钢琴家鲁多维科-艾奥迪第12张专辑《时光定格》于今日发行，发布会也在北京成功举办。他即将在国家大剧院及中山音乐堂演出。一起欣赏他新专辑作品《Walk(漫步)》-,钢 琴 家 艾 奥 迪 新 专 辑 发 布 会 举 行,艾 格 利 艾 乐 作 专 辑 艾 滋 作 辑
知性民谣乐团好妹妹25日糖果星光开唱，台湾三届金曲奖得主南方二重唱助阵。大南方开玩笑的说两个组合最大的共同点就是“大的大，小的小”，在粉丝要求下，几人共同演绎经典《不要问我过得好不好》。,南 方 二 重 唱 + 好 妹 妹 = 南 方 好 妹 妹 么,南 京 大 妈 搭 台 湾 好 好 搭 唱 好 搭
继上周六的北京演唱会后，5月28日，后街男孩亚洲巡回演唱会将在上海继续上演，即将结婚的成员尼克-卡特的未婚妻也有望到场支持。后街男孩也将在演唱会现场演绎歌迷评选出来的最爱歌曲。,后 街 男 孩 2 8 日 上 海 开 唱 成 员 有 望 携 未 婚 妻 亮 相,男 孩 婚 歌 唱 歌 迷 将 婚 歌
世界顶级跨界女高音莎拉布莱曼即将于6月28日莅临万事达中心，举行她的2013“追梦”世界巡回北京站的演唱会，这也也是她成为地球上音乐家中第一位太空旅客前的最后一次世界巡演。巡演的舞台设计引入了宇宙空间和星际的概念。,莎 拉 6 月 来 华 追 梦 舞 台 设 计 引 入 行 星 概 念,宇 宙 布 拉 演 唱 空 球
钱妞近日在真人秀节目中播出了一段她在朋友面前喝尿的画面，节目播出后引起了很大的争议。家长电视理事会曾发表公开声明，希望美国国会能够介入，来停播这档非常低俗的节目，并呼吁家长们不要让自己的子女收看本档节目。,钱 妞 节 目 喝 尿 被 批 低 俗 家 长 望 国 会 介 入,目 前 视 频 ： 美 国 女 子 节 目 引 争 议
2004年和2009年“月光女神”两次中国巡演余音尚未消散，莎拉-布莱曼又将带着全新专辑《追梦》和“准太空旅行者”的特殊身份来华展开第三次巡演。除再现历年经典曲目，此次音乐会将围绕着“太空”主题展开。,莎 拉 布 莱 曼 来 华 “ 追 梦 ” 倒 计 时,“ 巡 演 ” 将 逐 步 布 展
泰勒-斯威夫特登台献唱新单曲《22》。这次霉霉颇具新意的选择从更衣室一路唱到舞台上，如同魔术师一般，让今晚的颁奖礼从后台一直到现场都变成一片欢乐的海洋！视频请戳：L【Billboard颁奖礼】泰勒-斯威夫特《22》,# 公 告 牌 颁 奖 礼 # 泰 勒 - 斯 威 夫 特 创 意 献 唱 《 2 2 》,威 斯 特 勒 夫 斯 威 勒 夫
2013年公告牌颁奖在拉斯维加斯正式拉开帷幕！红毯上，泰勒-斯威夫特身着镂空短裙秀美背，变身蓝色精灵~泰勒与Fun.以及魔力红乐队均拿到11个奖项提名，并列成为本次公告牌音乐奖获提名最多的音乐人。期待获奖！美,# 公 告 牌 颁 奖 礼 # 斯 威 夫 特 镂 空 短 裙 秀 美 背,泰 勒 夫 妻 告 诉 红 牌
周杰伦2013“魔天伦”巡演将于本周五起在上海连开三场。由于是本轮巡演的首次亮相，周杰伦和他的巡演团队都十分重视此次演出，周杰伦也提前赶赴上海进行排练。此次“魔天伦”巡演，周杰伦本人也担当大量的创意以及导演的工作。,周 杰 伦 上 海 演 唱 会 彩 排 现 场 图 曝 光,周 杰 伦 连 续 上 演 “ 周 杰 伦 ”
“大家好，我是岗岗，我回来了！”杨钰莹近日家乡南昌开唱，让喜爱唱歌的她终于美梦成真。除演唱《心雨》等经典歌曲，还演唱了比伯的《Baby》，爵士版《我的歌声里》等热门歌曲，其后妈妈更上台共同演唱。杨钰莹称，“想展现一个不同的我”。,杨 钰 莹 南 昌 个 唱 落 幕,歌 唱 歌 舞 唱 歌 曲 舞
曾轶可即将于本月发行唱作专辑，今日曝光了新歌《有可能的夜晚》25秒的视频，用音乐故事来讲述在这个“有可能的夜晚”中似有似无的浪漫爱情。在新歌中带着曾轶可的爱情态度，幻想爱情中的无限可能。,曾 轶 可 《 有 可 能 的 夜 晚 》 短 片 讲 述 爱 情,新 浪 夜 情 有 望 有 新 情
首届麦咭儿童音乐节将在六一儿童节期间在湖南长沙正式拉开帷幕！这将是我国第一个面向少年儿童及其父母所打造的音乐主题节日，旨在为所有的亲子家庭打造一个梦幻舞台，度过这个特别的节日。详情：六一小盆友有地方玩拉！,麦 咭 儿 童 音 乐 节 将 启,首 届 儿 童 节 将 开 幕
佳耶师利借《少年派》主题曲《派的摇篮曲》成为首位获得奥斯卡提名的卡纳提克音乐家。她透露，创作这首歌的时候，把自己想象成了抱着孩子的母亲。5月9日，佳耶师利将在北京中山公园音乐堂举办音乐会，展现印度音乐的魅力。,少 年 派 演 唱 者 讲 述 创 作 背 后 北 京 将 开 唱,佳 兆 佳 兆 师 佳 兆 佳 兆 佳 家 乐
5.1来临，是不是还没想好去哪玩？只想着睡觉上网虚度大好春光？NO！NO！NO！新浪娱乐独家策划，盘点音乐节的那点事儿！带上好心情，愉快去耍！五一更多精彩演出推荐：五一，让身体放假！让耳朵行动起来！,策 划 ： 五 一 去 音 乐 节 都 能 做 啥,五 一 策 划 的 五 大 策 略
L视频：许巍《喜悦》官方剪辑版MV首播5月17日，许巍将带着众多新老作品登上北京工人体育馆的舞台，正式拉开“此时此刻”巡演的序幕。近日，《喜悦》官方剪辑版MV正式出炉，提前为演唱会预热。MV剪辑了许巍巡演、签售的画面，展现许巍唱游之路。,视 频 : 许 巍 《 喜 悦 》 官 方 剪 辑 版 M V,《 M V M 》 巡 演 登 台 版 巡 视
#国产萌妹子军团来袭#日本AKB48中国姐妹团SNH48全新MV《激流之战》正式曝光！MV邀请到周杰伦御用导演珍妮花执导！不过妹子们一改甜美风，穿上酷帅迷彩军装，战斗力指数升级，上演“街头大乱斗”！,视 频 ： S N H 4 8 《 激 流 之 战 》 M V 首 播,周 杰 伦 # 周 刊 曝 # 曝 光
5月9日，《少年派》主题曲演唱者、印度传统音乐代表人物之一孟买-佳耶师利将在北京中山公园音乐堂举办一场名为“婆娑漂流”的专场音乐会。佳耶师利将演唱最原汁原味的《Pi'sLullaby》(少年派的摇篮曲)，并带来更多印度传统音乐。,《 少 年 派 》 主 题 曲 演 唱 者 5 月 北 京 首 演,佳 兆 佳 乐 主 唱 歌 曲
蕾哈娜自今年3月8日开始“钻石世界巡演”以来，已经取消了4场演唱会。据美国媒体报道称，她很可能是怀孕了。蕾哈娜团队关于小天后病因模棱两可的态度，也大大增加了人们对她有可能怀孕的猜疑。,蕾 哈 娜 频 繁 就 诊 惹 怀 孕 产 检 疑 云,哈 怀 孕 怀 疑 孕 后 怀 孕
年仅26岁的女歌手陈僖仪今日凌晨2时许驾驶一辆私家车撞向路边石墩。受伤严重，送往广华医院抢救，清晨4时16分死亡。车祸发生后，陈僖仪父母、妹妹及音乐老师第一时间赶往医院。其音乐老师表示乐坛痛失出色歌手。,香 港 女 歌 手 陈 僖 仪 车 祸 身 亡 自 驾 车 撞 石 墩,女 老 师 车 祸 死 亡 八 旬 老 人
2013.4.29-5.1，北京草莓音乐节如约回归，通州运河公园将再次展开浪漫欢乐的音乐庆祝之旅。近40组海外艺人，总共超过160组海内外艺人的强大阵容，让草莓音乐节继续领衔国内音乐节阵容记录。音乐节指南：点击图片看大,北 京 草 莓 名 单 正 式 公 布,草 莓 音 乐 节 将 在 海 外 音 乐 节
“追梦”莎拉·布莱曼2013中国巡演将于今年6月拉开帷幕，在北京、上海、广州等地举办演唱会。其中上海作为此次巡演第四站现已率先开票，于6月23日上海大舞台举行。这将是莎拉继04年、09年之后的第3次、也是飞往太空“追梦”前的最后一次中国巡演。,莎 拉 布 莱 曼 六 月 上 海 开 唱,中 国 将 开 唱 巡 演
阔别3年，15届全国青年歌手电视大奖赛重返荧屏。经过系列改版，节目形式大“变脸”。针对网友质疑“钉子户”选手扎堆、选曲太老、主持人李思思有模仿董卿嫌疑、文化评委王立群点评拖沓等，青歌赛总导演秦新民接受新浪娱乐专访进行回应。,青 歌 赛 导 演 独 家 回 应 争 议,青 歌 新 歌 手 青 歌 屏 新 歌
演唱会市场开始释放积蓄已久的动能了。刚刚结束的五月天演唱会和即将到来的周杰伦巡演，都采取了网络抢票的销售形式，均创下新的销售纪录。市场对演唱会的消费能力，已经与前几年不可同日而语。,评 论 ： 演 唱 会 市 场 节 节 攀 高 几 人 可 享 甜 美 果 实 ？,周 杰 伦 会 演 唱 会
林志炫近日被拍到在机场与长发女子Gigi一起返台湾。不过林志炫经纪人却否认Gigi是其女友，并称她也是林的经纪人，并表示林的爱人另有其人。他透露林早已把这位“真女友”认定为真命天女，两人已见过双方家长，婚事顺其自然。,林 志 炫 携 女 返 台 否 认 是 女 友 称 是 经 纪 人,台 湾 女 友 爱 林 志 林 被 双 人
近日，玛丽亚凯莉与麻辣鸡同台担任《美国偶像》评委，两人衣裙竟然撞色。不过玛丽亚凯莉深v低胸的设计秀出火辣身材，可谓完胜麻辣鸡。而麻辣鸡则秀出了自己手臂上的中文纹身“上帝与你常在”这字体还得练练啊~高清大,组 图 ： 玛 丽 亚 凯 莉 与 麻 辣 鸡 撞 色 深 v 性 感 完 胜,辣 辣 纹 身 麻 辣 辣 辣 辣 臂
近日，乡村小天后#泰勒-斯威夫特#《红》巡演在美国新泽西州开唱。当晚泰勒与乐队同台飙乐器，狂野甩发，尽显摇滚范。白色镂空蕾丝上衣配上紧身小皮裤，秀出一双修长美腿。欣赏完整高清大,泰 勒 与 乐 队 飙 乐 器 摇 滚 范 黑 色 蕾 丝 裙 冶 艳,泰 国 特 勒 欣 红 美 欣 令 小 欣 欣 美 国
#罗大佑#即将加盟《中国最强音》并担任导师。罗大佑表示，对于参加节目的歌手，他更看重其心理状态，是否能够唱出人生，以及能否帮助舞台上的同伴。罗大佑认为，除了与观众互动，在舞台上与同伴一起成长更有意义。,罗 大 佑 坐 镇 中 国 最 强 音 ： 歌 手 内 心 状 态 很 重 要,罗 杰 斯 将 加 盟 大 师 歌 手
15届央视青歌赛组内比赛在央视落幕，新浪娱乐队三组突围选手诞生。民族组桑康称晋级意外，原已打算打包回家，更称王宏伟是自己“男神”；流行组周志悦曾参加多项比赛，自评发挥正常，希望继续妈妈音乐梦；美声组王佳韵仍是学生，坦承压力不小。,对 话 青 歌 赛 新 浪 娱 乐 队 三 强,青 歌 赛 突 围 青 歌 赛
26日，由中韩两地公司联手打造的男团M4M在京举行出道演出。M4M成员来自两岸三地，团员都曾在韩进行特训。在特训期间，公司安排性教育课和毒品教育课等特殊课程。演出当天还发生了小意外，成员宇胜不慎受伤。,M 4 M 中 国 出 道 首 秀 成 员 舞 台 上 受 伤,中 国 公 司 演 员 受 伤
日本女子团体HKT48一组运动内衣写真露出小蛮腰，青春洋溢。HKT48组成时平均年龄为13.8岁，是AKB姐妹组合中最年轻的团体。更多青春美图：妹子们青春的气息扑面而来，年轻真好~,日 本 萝 莉 女 团 H K T 4 8 写 真 运 动 内 衣 露 小 蛮 腰,组 图 ： 春 运 小 组 团 体 内 衣
